gene	splice_event	avg_dpsi	stdev_dpsi	freq	coord	str
GALE	GALE_23798887-23799012_23798116-23798730_23799365-23799436	-0.288066666666667	0.0543959907486187	15		chr1:23798887-23799012	-
TGFB2-AS1	TGFB2-AS1_218345175-218345388_218344195-218344462_218345602-218345678	-0.736066666666667	0.030250068870445	15		chr1:218345175-218345388	-
C2orf42	C2orf42_70190543-70190715_70182666-70182935_70190972-70191002	-0.433208333333333	0.166129854701641	24		chr2:70190543-70190715	-
RAD51AP1	RAD51AP1_4556353-4556502_4552982-4553147_4558856-4560018	-0.974	0.0464497121366296	34		chr12:4556353-4556502	+
RAD51AP1	RAD51AP1_4556353-4556550_4552982-4553147_4558856-4559019	-0.949083333333333	0.0574569151751926	24		chr12:4556353-4556550	+
VCAN	VCAN_83544965-83545070_83541947-83542268_83545536-83545650	-0.6483125	0.228407874772444	32		chr5:83544965-83545070	+
AC008695.1	AC008695.1_131428902-131429216_131425890-131427291_131430858-131431349	-0.611179487179487	0.0414740703997036	39		chr5:131428902-131429216	-
AC073896.2	AC073896.2_56312407-56312499_56300075-56300187_56314528-56314802	-0.575551724137931	0.0851316569483898	29		chr12:56312407-56312499	+
PPIEL	PPIEL_39524836-39525057_39523806-39523896_39529054-39529164	-0.636	0.115193171093892	16		chr1:39524836-39525057	-
PPIEL	PPIEL_39524836-39525151_39523806-39523896_39529054-39529164	-0.668	0.134774379365417	16		chr1:39524836-39525151	-
AC023480.1	AC023480.1_4030038-4030125_4027993-4028052_4041804-4041926	-0.63475	0.168389182154516	4		chr3:4030038-4030125	+
SRGAP3	SRGAP3_9032650-9032752_9028099-9028130_9038062-9038090	-0.822842105263157	0.0818464370654761	38		chr3:9032650-9032752	-
TDRD7	TDRD7_97428460-97428672_97412095-97412238_97430932-97431074	-0.471264705882353	0.0818725205772269	34		chr9:97428460-97428672	+
NBEAL2	NBEAL2_47004972-47005096_47004494-47004590_47005180-47005321	-0.37472972972973	0.0144446234685141	37		chr3:47004972-47005096	+
PRPF40A	PRPF40A_152679056-152679109_152677450-152677475_152679351-152679472	-0.298	0.0262745683347314	35		chr2:152679056-152679109	-
NCDN	NCDN_35558156-35558223_35557791-35557883_35559106-35559247	-0.3950625	0.0953861210909333	32		chr1:35558156-35558223	+
RPL32P3	RPL32P3_129397040-129397140_129393606-129393795_129399380-129399495	-0.60592	0.156339886145539	25		chr3:129397040-129397140	-
MTRF1	MTRF1_41262048-41262331_41260492-41260915_41263484-41263569	-0.521785714285714	0.265203535692712	28		chr13:41262048-41262331	-
PRKD1	PRKD1_29656476-29656499_29638693-29638904_29663698-29663859	-0.46558064516129	0.127341214640966	31		chr14:29656476-29656499	-
SCN3A	SCN3A_165179552-165179691_165176130-165176444_165186550-165186747	-0.341137931034483	0.111516086007462	29		chr2:165179552-165179691	-
TMEM134	TMEM134_67465056-67465267_67464802-67464856_67467311-67467388	-0.3473	0.0735892583694687	20		chr11:67465056-67465267	-
KCNT2	KCNT2_196317174-196317269_196315891-196316026_196326716-196326889	-0.377533333333333	0.121436559961315	15		chr1:196317174-196317269	-
KCNT2	KCNT2_196319484-196319555_196315891-196316026_196326716-196326889	-0.317	0.0963816817213135	8		chr1:196319484-196319555	-
PHACTR1	PHACTR1_13184799-13185005_13182518-13182686_13205814-13206136	-0.3905625	0.0435705844961177	16		chr6:13184799-13185005	+
ZC3H11A	ZC3H11A_203796451-203796601_203795653-203795775_203801574-203801628	-0.607083333333333	0.118375717974847	12		chr1:203796451-203796601	+
RPARP-AS1	RPARP-AS1_102451399-102452187_102450186-102450330_102455336-102456265	-0.513066666666667	0.113037583299075	15		chr10:102451399-102452187	+
RPARP-AS1	RPARP-AS1_102452090-102452187_102451398-102451555_102455336-102456267	-0.497476190476191	0.116963934205215	21		chr10:102452090-102452187	+
RAB29	RAB29_205774833-205775086_205772495-205772567_205775272-205775460	-0.345	0.0214534379529249	9		chr1:205774833-205775086	-
AC105285.1	AC105285.1_173166124-173166299_173143391-173145511_173166644-173166790	-0.665470588235294	0.184031821242813	34		chr4:173166124-173166299	-
AC105285.1	AC105285.1_173166645-173166790_173143516-173145511_173167961-173168054	-0.754787878787879	0.0913471255622466	33		chr4:173166645-173166790	-
ST3GAL3	ST3GAL3_43920404-43920550_43899335-43899727_43930131-43931122	-0.300208333333333	0.036470332393982	24		chr1:43920404-43920550	+
TMEM119	TMEM119_108594337-108594545_108592299-108592397_108597969-108598148	-0.391	0.14142135623731	2		chr12:108594337-108594545	-
ANKRD9	ANKRD9_102508641-102508846_102508474-102508549_102509528-102509776	-0.444111111111111	0.0831227928597834	18		chr14:102508641-102508846	-
CFAP69	CFAP69_90286281-90286399_90282891-90283056_90288233-90288352	-0.473	5.76066440841373e-17	14		chr7:90286281-90286399	+
ZEB1	ZEB1_31387124-31387266_31321473-31321532_31461036-31461237	-0.641076923076923	0.160743402028035	39		chr10:31387124-31387266	+
AC021092.2	AC021092.2_44114049-44114213_44113414-44113569_44115759-44115842	-0.406210526315789	0.192015213213076	19		chr19:44114049-44114213	+
SPART	SPART_36336287-36336358_36335020-36335832_36346313-36346493	-0.79015625	0.22679721073767	32		chr13:36336287-36336358	-
SNHG17	SNHG17_38422087-38422241_38421005-38421098_38426418-38426503	-0.377375	0.151970803116915	8		chr20:38422087-38422241	-
SNHG17	SNHG17_38422092-38422241_38421005-38421098_38426418-38426503	-0.37575	0.162668593860559	8		chr20:38422092-38422241	-
SNHG17	SNHG17_38422096-38422241_38421005-38421098_38426418-38426503	-0.384625	0.179062588818228	8		chr20:38422096-38422241	-
SNHG17	SNHG17_38422291-38422368_38421005-38421098_38425934-38426503	-0.36225	0.075676394382044	4		chr20:38422291-38422368	-
BROX	BROX_222715145-222715269_222713380-222713416_222715683-222715800	-0.21	0.00565685424949239	2		chr1:222715145-222715269	+
ITGAX	ITGAX_31369981-31370098_31363164-31363374_31371629-31371784	-0.5048	0.302782943890687	10		chr16:31369981-31370098	+
ZDHHC24	ZDHHC24_66526936-66527006_66521081-66521466_66543703-66543981	-0.369666666666667	0.181036644541006	6		chr11:66526936-66527006	-
STON1-GTF2A1L	STON1-GTF2A1L_48642402-48642457_48621166-48621290_48645032-48645117	-0.915454545454546	0.127693355636043	22		chr2:48642402-48642457	+
MAP4	MAP4_47875685-47875900_47871916-47872100_47877416-47877523	-0.302605263157895	0.0191248239330305	38		chr3:47875685-47875900	-
DUSP11	DUSP11_73767161-73767207_73766827-73766903_73769264-73769325	-0.242153846153846	0.0197224328868007	13		chr2:73767161-73767207	-
ZNF551	ZNF551_57685262-57685385_57681976-57682244_57686480-57688028	-0.640064516129032	0.207399764622797	31		chr19:57685262-57685385	+
NAA60	NAA60_3447482-3447620_3443687-3443893_3448470-3448540	-0.397666666666667	0.118197574707211	6		chr16:3447482-3447620	+
COBL	COBL_51083058-51083228_51043382-51043692_51085165-51085304	-0.470756756756757	0.116076221463266	37		chr7:51083058-51083228	-
PEX5L	PEX5L_179971594-179971665_179898141-179898246_180036578-180036937	-0.270833333333333	0.0222658183471137	6		chr3:179971594-179971665	-
PFKL	PFKL_44304275-44304455_44300050-44300190_44305256-44305417	-0.976714285714286	0.0738871726737076	21		chr21:44304275-44304455	+
PFKL	PFKL_44305800-44305935_44305256-44305417_44306680-44306754	-0.419	0.13325914602758	21		chr21:44305800-44305935	+
FAM189B	FAM189B_155251733-155251905_155251501-155251601_155253624-155253732	-0.288972222222222	0.024451101185966	36		chr1:155251733-155251905	-
FAM189B	FAM189B_155251733-155251908_155251501-155251601_155253624-155253732	-0.396527777777778	0.0402232953904015	36		chr1:155251733-155251908	-
ZMYM4	ZMYM4_35325360-35325405_35268708-35269085_35358924-35359229	-0.546962962962963	0.0233097560979245	27		chr1:35325360-35325405	+
INSIG2	INSIG2_118096419-118096426_118088473-118088541_118103196-118103321	-0.7634	0.17217955743932	5		chr2:118096419-118096426	+
NFIC	NFIC_3456550-3456635_3452481-3452666_3462751-3462900	-0.208428571428571	0.00320713490294909	7		chr19:3456550-3456635	+
AC010522.1	AC010522.1_57839023-57839149_57819718-57819945_57856103-57856233	-0.585666666666667	0.0750782924685958	9		chr19:57839023-57839149	+
AC010522.1	AC010522.1_57856104-57856233_57839022-57839149_57858575-57858641	-0.7577	0.0421137348933417	10		chr19:57856104-57856233	+
CBLB	CBLB_105685320-105685466_105680991-105681818_105693493-105693588	-0.576461538461538	0.0359647825941508	39		chr3:105685320-105685466	-
RGS7	RGS7_240801455-240801508_240800640-240800721_240802903-240802993	-0.6335	0.151227202138592	4		chr1:240801455-240801508	-
CCDC150	CCDC150_196695046-196695159_196677292-196677361_196701108-196701180	-0.555181818181818	0.196171260984793	11		chr2:196695046-196695159	+
VAV2	VAV2_133769417-133769503_133768441-133768596_133770377-133770501	-0.3095	0.0779337325339077	4		chr9:133769417-133769503	-
DLG2	DLG2_83930328-83930483_83874419-83874488_83962884-83963023	-0.311090909090909	0.0317173665677235	22		chr11:83930328-83930483	-
PCBP1-AS1	PCBP1-AS1_69964231-69964427_69962262-69963500_69988741-69988838	-0.5038	0.278036328561575	5		chr2:69964231-69964427	-
CNKSR2	CNKSR2_21503244-21503332_21501519-21501588_21526866-21527000	-0.534	0.18477418650883	5		chrX:21503244-21503332	+
CNKSR2	CNKSR2_21516485-21516631_21501474-21501588_21526866-21527000	-0.498742857142857	0.0978105440175465	35		chrX:21516485-21516631	+
LRIG2	LRIG2_113103609-113103735_113100419-113100488_113107593-113107826	-0.24425	0.0286167200543086	4		chr1:113103609-113103735	+
OGG1	OGG1_9756471-9756621_9751769-9751949_9765808-9766540	-0.563416666666667	0.19191212872436	12		chr3:9756471-9756621	+
PLEKHA6	PLEKHA6_204256802-204256888_204250545-204250614_204257352-204257869	-0.311545454545455	0.0192112656343284	11		chr1:204256802-204256888	-
SORBS2	SORBS2_185638079-185638162_185630548-185630598_185646667-185646782	-0.734142857142857	0.174050211693282	7		chr4:185638079-185638162	-
SORBS2	SORBS2_185638877-185639035_185638078-185638162_185646667-185646782	-0.8068	0.0836670271288004	15		chr4:185638877-185639035	-
KIDINS220	KIDINS220_8747887-8748000_8736867-8736999_8750111-8750335	-0.398458333333333	0.104341820856789	24		chr2:8747887-8748000	-
CCDC28B	CCDC28B_32204233-32204379_32203878-32204045_32204597-32204620	-0.301294117647059	0.0474246306072624	17		chr1:32204233-32204379	+
SLC19A3	SLC19A3_227700913-227701108_227698735-227699564_227702168-227702320	-0.244	0.0351852241715184	4		chr2:227700913-227701108	-
LPIN1	LPIN1_11776086-11776193_11773619-11773745_11779518-11779645	-0.495966666666667	0.116462953509817	30		chr2:11776086-11776193	+
TOM1L2	TOM1L2_17850893-17850952_17848822-17848859_17861475-17861551	-0.563973684210526	0.113337211952151	38		chr17:17850893-17850952	-
TACC1	TACC1_38742351-38742451_38728587-38728671_38788703-38788819	-0.348428571428571	0.130347886168405	14		chr8:38742351-38742451	+
GCKR	GCKR_27497562-27497630_27497243-27497399_27498254-27498323	-0.8828	0.146221141502254	10		chr2:27497562-27497630	+
WDR49	WDR49_167626852-167627292_167604300-167604468_167653260-167653499	-0.723769230769231	0.178237214451373	26		chr3:167626852-167627292	-
UBE2F	UBE2F_238016533-238016633_237994743-237994809_238025341-238025412	-0.325535714285714	0.0563898350065284	28		chr2:238016533-238016633	+
FAM228B	FAM228B_24124330-24124460_24123468-24123533_24135118-24135187	-0.914090909090909	0.0882422286045117	11		chr2:24124330-24124460	+
NAALADL2	NAALADL2_175447229-175447372_175324174-175324325_175463400-175463493	-0.902064516129032	0.0996981897140468	31		chr3:175447229-175447372	+
PI4KAP2	PI4KAP2_21476644-21476764_21475991-21476160_21477789-21477915	-0.22255	0.00789053396899028	20		chr22:21476644-21476764	-
EMILIN1	EMILIN1_27085160-27085297_27084990-27085008_27085677-27086403	-0.354131578947368	0.0344635891313996	38		chr2:27085160-27085297	+
PFKM	PFKM_48118482-48118577_48108071-48108194_48122766-48122841	-0.34425	0.0713039269605819	4		chr12:48118482-48118577	+
ST6GALNAC6	ST6GALNAC6_127897956-127898010_127896241-127896332_127899502-127899574	-0.244	0.029698484809835	2		chr9:127897956-127898010	-
MBD5	MBD5_148053933-148054050_148021416-148021684_148054390-148054449	-0.500391304347826	0.200526973730907	23		chr2:148053933-148054050	+
BICRAL	BICRAL_42810306-42810401_42782026-42782101_42822017-42822063	-0.487727272727273	0.107554721801594	11		chr6:42810306-42810401	+
C2orf76	C2orf76_119340159-119340361_119339826-119339971_119366435-119366742	-0.72392	0.205925536703602	25		chr2:119340159-119340361	-
ZNF546	ZNF546_39998248-39998332_39997860-39997915_40006095-40006182	-0.482857142857143	0.120734200841134	14		chr19:39998248-39998332	+
RPL34-AS1	RPL34-AS1_108598538-108598695_108556790-108557064_108620307-108620460	-0.5356	0.181363477886567	10		chr4:108598538-108598695	-
MAATS1	MAATS1_119732294-119732476_119730219-119730377_119737365-119737482	-0.519076923076923	0.0281734554100769	13		chr3:119732294-119732476	+
PACRGL	PACRGL_20701758-20701884_20700465-20700611_20704465-20704524	-0.503111111111111	0.206990002442415	9		chr4:20701758-20701884	+
PACRGL	PACRGL_20712788-20712922_20704659-20704814_20713431-20713516	-0.2987	0.00691295080908934	10		chr4:20712788-20712922	+
BMPER	BMPER_34046306-34046405_33974701-33974784_34051860-34051970	-0.261466666666667	0.00538339598961032	15		chr7:34046306-34046405	+
AC012651.1	AC012651.1_42352030-42352124_42351328-42351432_42354339-42354453	-0.621	2.2502520278668e-16	38		chr15:42352030-42352124	+
NDEL1	NDEL1_8463320-8463354_8460008-8460160_8466929-8467658	-0.305916666666667	0.0983190153931516	12		chr17:8463320-8463354	+
HPS3	HPS3_149167034-149167240_149163841-149163949_149167892-149167983	-0.2158125	0.00106066017177982	32		chr3:149167034-149167240	+
HPS3	HPS3_149167065-149167240_149163841-149163949_149167888-149167983	-0.708678571428572	0.0472566307880614	28		chr3:149167065-149167240	+
FAM104A	FAM104A_73227165-73227264_73207352-73209768_73232085-73232367	-0.209727272727273	0.00286673713796396	11		chr17:73227165-73227264	-
P2RY6	P2RY6_73295730-73295815_73292781-73292920_73296484-73296540	-0.631125	0.236558321108589	8		chr11:73295730-73295815	+
ALG1L	ALG1L_125932650-125932709_125931637-125931752_125933574-125933696	-0.6611	0.0624557948935843	20		chr3:125932650-125932709	-
RAPGEF1	RAPGEF1_131604931-131605188_131602113-131602149_131619050-131619209	-0.249	0.014142135623731	2		chr9:131604931-131605188	-
LINC01778	LINC01778_30826534-30826652_30824227-30824373_30829747-30829882	-0.367	0.0988514036319161	11		chr1:30826534-30826652	+
LINC01778	LINC01778_30826555-30826652_30824227-30824373_30829747-30829882	-0.443	0.186205653658919	23		chr1:30826555-30826652	+
LINC01778	LINC01778_30826605-30826652_30824227-30824373_30829747-30829882	-0.3535	0.117145920401296	10		chr1:30826605-30826652	+
CAPN7	CAPN7_15241453-15241588_15240753-15240853_15242177-15242253	-0.422848484848485	0.0698816504939428	33		chr3:15241453-15241588	+
RABL2A	RABL2A_113635051-113635130_113634152-113634232_113640893-113640938	-0.244225806451613	0.0154977625856538	31		chr2:113635051-113635130	+
RABL2A	RABL2A_113641353-113641450_113635050-113635130_113641780-113641864	-0.545272727272727	0.0194632520874129	11		chr2:113641353-113641450	+
RABL2A	RABL2A_113641356-113641450_113635050-113635130_113641780-113641864	-0.5935	0.0388908729652601	2		chr2:113641356-113641450	+
MYLK-AS1	MYLK-AS1_123611235-123611355_123585646-123585794_123629490-123629681	-0.795833333333333	0.110313039422666	6		chr3:123611235-123611355	+
CTBS	CTBS_84569931-84570139_84565840-84566012_84570581-84570720	-0.281842105263158	0.0459773653948872	19		chr1:84569931-84570139	-
KIAA1841	KIAA1841_61073458-61073551_61071605-61071792_61076919-61077158	-0.738552631578947	0.137268271046629	38		chr2:61073458-61073551	+
C2orf92	C2orf92_97694447-97694599_97690255-97690327_97699025-97699048	-0.667	1.35973995551052e-16	3		chr2:97694447-97694599	+
C2orf92	C2orf92_97701154-97701304_97699025-97699136_97702668-97702704	-0.538461538461538	0.138675049056307	13		chr2:97701154-97701304	+
RALGPS2	RALGPS2_178892230-178892307_178889641-178889696_178893918-178894024	-0.447575757575758	0.173306273383105	33		chr1:178892230-178892307	+
NAGK	NAGK_71070741-71070839_71068587-71068712_71072640-71072751	-0.693304347826087	0.129635655442688	23		chr2:71070741-71070839	+
DPM1	DPM1_50941105-50941209_50940864-50940955_50942030-50942126	-0.634761904761905	0.111189884774607	21		chr20:50941105-50941209	-
MYBL1	MYBL1_66566064-66566243_66562174-66564825_66566683-66566788	-0.551294117647059	0.114310850702089	17		chr8:66566064-66566243	-
ABCC10	ABCC10_43430748-43430866_43427967-43428139_43432141-43432176	-0.284916666666667	0.102363397518425	12		chr6:43430748-43430866	+
AL033523.1	AL033523.1_3631926-3632189_3593586-3594535_3634018-3634059	-0.7895	0.0799030662740799	2		chr6:3631926-3632189	-
AL033523.1	AL033523.1_3632029-3632189_3593586-3594535_3634018-3634059	-0.7895	0.0799030662740799	2		chr6:3632029-3632189	-
YPEL5	YPEL5_30148245-30148541_30146940-30147062_30156627-30156792	-0.33625	0.106424856119236	4		chr2:30148245-30148541	+
PAK4	PAK4_39172918-39173106_39169531-39169757_39173575-39174010	-0.391375	0.0566617469853213	8		chr19:39172918-39173106	+
PAK4	PAK4_39172918-39173376_39169531-39169757_39173575-39174010	-0.306	0.0386966222224702	8		chr19:39172918-39173376	+
MELTF-AS1	MELTF-AS1_197004097-197004359_197003601-197003970_197004493-197004744	-0.36	0.0785811682275086	3		chr3:197004097-197004359	+
MRM2	MRM2_2238015-2238937_2234294-2235564_2239417-2239707	-0.2691875	0.0455854051936216	16		chr7:2238015-2238937	-
STRA6LP	STRA6LP_97347314-97347489_97343339-97343563_97349110-97349291	-0.571	1.14919000872408e-16	15		chr9:97347314-97347489	+
PIBF1	PIBF1_72893784-72893949_72854056-72854155_72908530-72908681	-0.407108108108108	0.0375031730389308	37		chr13:72893784-72893949	+
ARHGAP39	ARHGAP39_144537721-144537813_144534128-144534202_144545248-144545810	-0.536354838709677	0.0747353322898421	31		chr8:144537721-144537813	-
STARD7-AS1	STARD7-AS1_96237905-96238099_96208406-96208979_96239712-96240688	-0.812	0.224071417186575	4		chr2:96237905-96238099	+
FAR2P2	FAR2P2_130425465-130425611_130425090-130425158_130425913-130426038	-0.539238095238095	0.145431394396776	21		chr2:130425465-130425611	-
ELFN2	ELFN2_37417769-37417919_37367959-37375996_37420283-37420445	-0.666742857142858	0.00152127765851133	35		chr22:37417769-37417919	-
CADPS2	CADPS2_122386295-122386309_122379367-122379442_122387025-122387173	-0.7665	0.173279561551883	32		chr7:122386295-122386309	-
GLCCI1	GLCCI1_8084897-8085017_8070920-8071131_8086192-8089080	-0.443333333333333	0.0710664379049015	39		chr7:8084897-8085017	+
PALLD	PALLD_168925233-168925278_168924944-168925078_168926212-168928441	-0.29625	0.0375088878356406	4		chr4:168925233-168925278	+
NEK1	NEK1_169599100-169599197_169590725-169590809_169602007-169602104	-0.864054054054054	0.07123355402631	37		chr4:169599100-169599197	-
BLOC1S6	BLOC1S6_45592135-45592276_45587354-45587525_45597879-45599562	-0.720333333333333	0.0620181425068504	9		chr15:45592135-45592276	+
FASTKD3	FASTKD3_7866646-7868196_7865897-7865983_7868978-7869031	-0.4	0	14		chr5:7866646-7868196	-
EPHB6	EPHB6_142862000-142862133_142861051-142861186_142862755-142862788	-0.568636363636364	0.0944308996313961	22		chr7:142862000-142862133	+
EPHB6	EPHB6_142862017-142862133_142861051-142861186_142862755-142862833	-0.465035714285714	0.0585374094650447	28		chr7:142862017-142862133	+
KIAA1109	KIAA1109_122325855-122325917_122325229-122325320_122328103-122328357	-0.438384615384615	0.0655031599818767	39		chr4:122325855-122325917	+
EXOSC3	EXOSC3_37781986-37782137_37779713-37780880_37783913-37784063	-0.451064516129032	0.113362526284445	31		chr9:37781986-37782137	-
NRG2	NRG2_139865549-139865625_139855675-139855778_139871720-139871841	-0.336	5.8513891142945e-17	10		chr5:139865549-139865625	-
AC090114.3	AC090114.3_128577964-128578033_128574719-128574791_128578889-128578933	-0.6348125	0.0837354713766314	16		chr7:128577964-128578033	+
AC090114.3	AC090114.3_128608118-128608213_128591849-128592017_128609486-128609579	-0.513772727272727	0.0649995837482509	22		chr7:128608118-128608213	+
PDZD2	PDZD2_32010330-32010482_31983154-31983656_32037230-32037342	-0.3505	0.00650524264099208	34		chr5:32010330-32010482	+
GABRG2	GABRG2_162150995-162151753_162149107-162149313_162153092-162155176	-0.5305	0.0346482322781409	2		chr5:162150995-162151753	+
AMACR	AMACR_34004574-34004734_33998640-33998827_34005755-34005899	-0.415714285714286	0.0677710431210431	21		chr5:34004574-34004734	-
RAD1	RAD1_34913470-34913578_34911553-34911812_34913926-34914026	-0.423724137931034	0.0157681789684255	29		chr5:34913470-34913578	-
CPLANE1	CPLANE1_37164273-37164327_37162464-37162566_37165538-37165671	-0.307642857142857	0.0107818019248757	14		chr5:37164273-37164327	-
SRRM3	SRRM3_76283524-76283602_76282963-76283101_76285614-76287288	-0.7152	0.231209454315142	35		chr7:76283524-76283602	+
ITPR1	ITPR1_4653842-4653886_4652122-4652218_4658123-4658278	-0.461263157894737	0.0967636537051106	19		chr3:4653842-4653886	+
TRERF1	TRERF1_42268154-42269848_42265750-42265797_42300637-42300749	-0.455741935483871	0.0139450534645455	31		chr6:42268154-42269848	-
MRPS30-DT	MRPS30-DT_44747627-44747696_44745996-44746038_44777036-44777101	-0.4075	0.0862710843794142	6		chr5:44747627-44747696	-
KIF23	KIF23_69425282-69425323_69423158-69423329_69426069-69426182	-0.819407407407407	0.164381184413466	27		chr15:69425282-69425323	+
ACTN1	ACTN1_68878989-68879069_68878457-68878523_68879961-68880108	-0.396473684210526	0.0461019650411383	38		chr14:68878989-68879069	-
SLC29A1	SLC29A1_44226061-44226167_44219552-44219782_44227262-44227342	-0.387555555555555	0.0485157477297607	9		chr6:44226061-44226167	+
GAPVD1	GAPVD1_125287762-125287883_125261830-125261959_125295457-125295522	-0.353818181818182	0.0843477136414307	22		chr9:125287762-125287883	+
SREK1	SREK1_66156065-66158932_66153462-66153596_66159218-66159334	-0.2644	0.0698806124758506	5		chr5:66156065-66158932	+
SREK1	SREK1_66158809-66158932_66153462-66153596_66159218-66159334	-0.2905	0.0473761543394987	2		chr5:66158809-66158932	+
S100Z	S100Z_76870166-76870284_76850000-76850155_76875303-76875500	-0.778272727272727	0.0123619651276883	11		chr5:76870166-76870284	+
SUPT20H	SUPT20H_37048564-37048599_37047877-37047936_37051487-37051559	-0.4224	0.0390589298368504	10		chr13:37048564-37048599	-
DMAC2	DMAC2_41433272-41433434_41431318-41432408_41433536-41433673	-0.2315	0.0133678719323608	6		chr19:41433272-41433434	-
DNAJA3	DNAJA3_4454811-4454927_4449553-4450497_4455545-4456772	-0.205333333333333	0.00680685928555404	3		chr16:4454811-4454927	+
ZCCHC9	ZCCHC9_81304741-81305141_81301586-81301698_81308560-81308711	-0.338	0.0320806275915336	13		chr5:81304741-81305141	+
GLT1D1	GLT1D1_128875914-128876062_128853426-128853649_128888638-128888744	-0.398583333333333	0.0335246404179302	12		chr12:128875914-128876062	+
MEF2C-AS1	MEF2C-AS1_89150724-89150777_89150532-89150595_89168249-89168668	-0.543	0.135823414770797	22		chr5:89150724-89150777	+
PEA15	PEA15_160208464-160208665_160207132-160207237_160211542-160211716	-0.367228571428572	0.121700230971381	35		chr1:160208464-160208665	+
TRAF3IP2-AS1	TRAF3IP2-AS1_111574621-111574658_111483611-111483665_111576361-111576753	-0.459545454545455	0.152046064341759	33		chr6:111574621-111574658	+
ERAP2	ERAP2_96900121-96900189_96896731-96896863_96901505-96901681	-0.926666666666667	0.109435263617707	27		chr5:96900121-96900189	+
ERAP2	ERAP2_96900121-96900245_96896731-96896863_96901505-96901681	-0.8725	0.120988101438345	30		chr5:96900121-96900245	+
EXOC6B	EXOC6B_72182894-72182905_72179308-72179461_72184074-72184187	-0.455083333333333	0.0878016126754275	24		chr2:72182894-72182905	-
TPM2	TPM2_35684732-35684807_35684487-35684550_35685063-35685139	-0.504074074074074	0.157139802020104	27		chr9:35684732-35684807	-
SLC9A5	SLC9A5_67262212-67262289_67259819-67259946_67264351-67264522	-0.588333333333333	0.154936546151427	3		chr16:67262212-67262289	+
PLA2G6	PLA2G6_38128269-38128430_38126370-38126449_38129453-38129562	-0.373757575757576	0.0881858939623531	33		chr22:38128269-38128430	-
HNRNPH3	HNRNPH3_68337858-68337996_68337198-68337333_68338502-68338642	-0.22685	0.0177712807938154	20		chr10:68337858-68337996	+
R3HCC1L	R3HCC1L_98186467-98186563_98163286-98163397_98208100-98209899	-0.328416666666667	0.0765500215356041	24		chr10:98186467-98186563	+
RTKN	RTKN_74439551-74439977_74432058-74432666_74440352-74440583	-0.246333333333333	0.0307300070506555	3		chr2:74439551-74439977	-
KIF3A	KIF3A_132706451-132706459_132703462-132703619_132710958-132711057	-0.3092	0.00626099033699942	5		chr5:132706451-132706459	-
AFF4	AFF4_132927121-132927207_132904367-132904404_132932177-132932222	-0.232833333333333	0.0201436507780161	6		chr5:132927121-132927207	-
TCF7	TCF7_134144797-134144869_134143591-134143640_134146223-134148210	-0.56462962962963	0.143736711264875	27		chr5:134144797-134144869	+
FAM13B	FAM13B_137956477-137956542_137954165-137954376_137959615-137959763	-0.359032258064516	0.117329304060826	31		chr5:137956477-137956542	-
TEK	TEK_27192489-27192623_27185484-27185629_27197314-27197599	-0.479310344827586	0.0180517182567119	29		chr9:27192489-27192623	+
LINC01184	LINC01184_128076947-128077093_128062373-128062500_128082734-128082881	-0.6766	0.0903243537972395	10		chr5:128076947-128077093	-
NRF1	NRF1_129641725-129641822_129611746-129611824_129657342-129657574	-0.313714285714286	0.0714812662770563	7		chr7:129641725-129641822	+
ATF7IP2	ATF7IP2_10419581-10419623_10386054-10386122_10428867-10429004	-0.5155	0.149584424322855	6		chr16:10419581-10419623	+
ATF7IP2	ATF7IP2_10457372-10457529_10440363-10440462_10473478-10473534	-0.745285714285714	0.28623400350396	7		chr16:10457372-10457529	+
ATF7IP2	ATF7IP2_10472110-10472183_10440363-10440462_10473478-10473534	-0.9295625	0.106733917601982	16		chr16:10472110-10472183	+
DELE1	DELE1_141938856-141938904_141938520-141938760_141939553-141940120	-0.277	0.0339411254969543	2		chr5:141938856-141938904	+
NDST1	NDST1_150518798-150518919_150485817-150486003_150520867-150521102	-0.583714285714286	0.137119503506096	14		chr5:150518798-150518919	+
AMPD2	AMPD2_109623979-109624089_109621117-109621266_109625302-109625433	-0.273285714285714	0.0790963848430388	7		chr1:109623979-109624089	+
MAP3K8	MAP3K8_30437176-30437406_30434183-30434378_30438915-30439274	-0.519333333333333	0.0545706182936604	15		chr10:30437176-30437406	+
ZNF875	ZNF875_37324796-37324936_37324207-37324265_37347189-37347196	-0.814717948717949	0.137501760508911	39		chr19:37324796-37324936	+
ZNF875	ZNF875_37358541-37358661_37357961-37358039_37362108-37362274	-0.360375	0.192835931373205	8		chr19:37358541-37358661	+
TASOR2	TASOR2_5709530-5709663_5692815-5692918_5712822-5712918	-0.860166666666667	0.122497178839063	18		chr10:5709530-5709663	+
CNOT2	CNOT2_70285400-70285586_70278131-70278274_70294236-70294294	-0.828857142857143	0.113893852001807	7		chr12:70285400-70285586	+
FBXW11	FBXW11_171996890-171997051_171957596-171957698_172006457-172006649	-0.4154	0.0722258154751653	20		chr5:171996890-171997051	-
ADCK5	ADCK5_144389263-144389336_144383080-144383230_144390670-144390746	-0.2395	0.0556746501261271	4		chr8:144389263-144389336	+
ANK3	ANK3_60166591-60166653_60138963-60139087_60166823-60166896	-0.49759375	0.131935922711038	32		chr10:60166591-60166653	-
