Gene	Exon_coord	Upstream_exon_coord	Downstream_exon_coord	hHistology
GMPR2	24238246-24238405	24237519-24237562	24238588-24238748	Low-grade glioma
MYG1	53306198-53306320	53299717-53300262	53306679-53306861	Low-grade glioma
SPATA18	52062220-52062332	52060781-52060897	52071916-52072156	Low-grade glioma
DCUN1D4	51848205-51848367	51843578-51843742	51863436-51863507	Low-grade glioma
ZNF812P	9693694-9693820	9690579-9691269	9694778-9694867	Low-grade glioma
HEATR5A	31304905-31305177	31302294-31302519	31306731-31306879	Low-grade glioma
NAALAD2	90159239-90159337	90158144-90158238	90162948-90163034	Low-grade glioma
ELMOD3	85355555-85355716	85354725-85354829	85356966-85357252	Low-grade glioma
CRPPA	16376092-16376241	16308522-16308627	16406060-16406337	Low-grade glioma
FGGY	59346247-59346398	59339957-59340069	59378748-59378837	Low-grade glioma
FGGY	59321536-59321750	59296794-59296907	59339957-59340069	Low-grade glioma
HNRNPR	23340852-23341020	23338489-23338608	23344210-23344322	Low-grade glioma
PPP2R5A	212342188-212342280	212333496-212333598	212345802-212345933	Low-grade glioma
SAFB	5641740-5641946	5641593-5641658	5645336-5645399	Low-grade glioma
CNIH3	224684796-224684843	224680957-224681026	224730461-224730574	Low-grade glioma
RPL4	66501788-66501912	66500948-66501504	66502611-66502750	Low-grade glioma
CYFIP2	157294783-157294860	157287018-157287108	157296672-157296774	Low-grade glioma
PLAAT5	63468357-63468465	63466109-63466372	63488870-63488976	Low-grade glioma
OSBPL10	31879655-31879830	31876432-31876512	31980898-31980946	Low-grade glioma
NUDT5	12173718-12173813	12172489-12172866	12177792-12177900	Low-grade glioma
ABTB2	34204544-34204690	34197324-34197538	34356700-34358010	Low-grade glioma
RNF40	30766163-30766282	30765424-30765499	30766378-30766558	Low-grade glioma
PPP1R1C	182117207-182117468	182063730-182063791	182128973-182129538	Low-grade glioma
HERC5	88470614-88470673	88469156-88469260	88472408-88472502	Low-grade glioma
TEX26	30952660-30952825	30932655-30932776	30966221-30966398	Low-grade glioma
NUCB2	17286634-17286713	17282788-17282943	17291239-17291365	Low-grade glioma
SNX5	17953996-17954117	17952586-17952710	17955364-17955475	Low-grade glioma
ZBTB17	15943399-15943519	15943063-15943194	15943598-15943715	Low-grade glioma
KCNAB3	7925097-7925183	7924414-7924500	7925682-7925726	Low-grade glioma
POLG	89328456-89328535	89327012-89327349	89328684-89328712	Low-grade glioma
PHF3	63680000-63680161	63646525-63646795	63684128-63684245	Low-grade glioma
ARID1B	156901376-156901525	156829226-156829421	156935465-156935576	Low-grade glioma
CENPT	67832228-67832315	67832011-67832108	67832454-67832545	Low-grade glioma
NSD1	177248181-177248324	177246677-177246796	177251729-177251853	Low-grade glioma
QTRT1	10707466-10707615	10707301-10707380	10712160-10712628	Low-grade glioma
QTRT1	10707500-10707615	10707301-10707380	10712160-10712256	Low-grade glioma
BACE2	41257158-41257326	41250751-41250901	41275370-41275381	Low-grade glioma
WASHC2C	45777273-45777425	45773255-45773358	45778952-45779135	Low-grade glioma
MARK3	103457142-103457212	103451917-103451983	103462404-103462461	Low-grade glioma
HIBCH	190310754-190310796	190296812-190296953	190319715-190319826	Low-grade glioma
PPM1B	44209210-44209327	44201185-44202045	44217966-44218078	Low-grade glioma
DGCR2	19056986-19057162	19048378-19048643	19063201-19063277	Low-grade glioma
GM2A	151259755-151259916	151253184-151253297	151266730-151266880	Low-grade glioma
EDEM2	35146825-35146935	35144978-35145018	35147151-35147336	Low-grade glioma
COQ10B	197459932-197460081	197453551-197453664	197462538-197462731	Low-grade glioma
MRPL45	38320618-38320767	38318686-38318735	38322125-38322299	Low-grade glioma
UBL3	29777155-29777263	29772111-29772198	29849511-29850617	Low-grade glioma
BSCL2	62705301-62705617	62702467-62702549	62707108-62707324	Low-grade glioma
TPRG1L	3625713-3625889	3625423-3625515	3627499-3627653	Low-grade glioma
SNHG6	66922614-66922725	66920560-66922114	66925436-66925541	Low-grade glioma
NPLOC4	81622166-81622278	81613317-81613494	81629724-81629805	Low-grade glioma
ISY1	129134074-129134195	129130549-129130636	129134831-129134954	Low-grade glioma
ECI2	4130372-4130560	4127761-4127831	4130766-4130865	Low-grade glioma
ECI2	4130372-4130642	4127761-4127831	4130766-4130865	Low-grade glioma
CCDC90B	83274639-83274740	83273792-83273992	83278725-83278829	Low-grade glioma
CCDC90B	83274639-83274763	83273950-83273992	83278725-83278829	Low-grade glioma
ADAL	43333311-43333434	43331899-43332000	43334944-43335170	Low-grade glioma
KBTBD3	106058865-106059109	106051097-106054455	106076506-106076707	Low-grade glioma
VDAC3	42398712-42398864	42395083-42395133	42401787-42402015	Low-grade glioma
SPECC1	20017987-20018102	20009319-20009424	20057676-20057817	Low-grade glioma
ELOC	73964487-73964625	73959764-73959818	73971869-73971908	Low-grade glioma
ZFYVE28	2335705-2335794	2320169-2320271	2337406-2337496	Low-grade glioma
RBP7	10007570-10007748	9997227-9997331	10008172-10008274	Low-grade glioma
CRPPA	16308523-16308627	16301420-16301466	16376091-16376241	Low-grade glioma
SEC31B	100500110-100500159	100499523-100499598	100502253-100502484	Low-grade glioma
TBC1D31	123120055-123120188	123109473-123109620	123126055-123126189	Low-grade glioma
SENP6	75711328-75711416	75709526-75709630	75713512-75713581	Low-grade glioma
NOL10	10684567-10684612	10681970-10682069	10689795-10689972	Low-grade glioma
KRIT1	92244002-92244149	92242033-92242137	92245464-92245914	Low-grade glioma
TCFL5	62859364-62859526	62841004-62842097	62860124-62860308	Low-grade glioma
RGS5	163319182-163319291	163308543-163308631	163321621-163321772	Low-grade glioma
ERC2	55606780-55606966	55508310-55511276	55699377-55699512	Low-grade glioma
BTBD19	44812039-44812098	44810553-44810607	44812995-44813064	Low-grade glioma
CCDC7	32711620-32711730	32685969-32686080	32726733-32726832	Low-grade glioma
ENSG00000286129	22307106-22307245	22306832-22307021	22308696-22308819	Low-grade glioma
ENSG00000224016	149892274-149892398	149891190-149891301	149909649-149909704	Low-grade glioma
SLC29A1	44226061-44226167	44221585-44221685	44227262-44227342	Low-grade glioma
ZFPM2	105444280-105444381	105318437-105318981	105561362-105561422	Low-grade glioma
RPS6KA2	166770863-166770913	166538667-166538784	166858199-166858259	Low-grade glioma
FAM114A1	38868398-38868546	38867805-38867834	38891742-38891830	Low-grade glioma
MIR100HG	122064180-122066434	122038026-122038243	122100373-122100475	Low-grade glioma
ENSG00000233184	101075395-101075716	101025843-101026061	101077362-101077508	Low-grade glioma
FDPS	155309753-155309965	155308958-155309076	155310042-155310205	Low-grade glioma
ETV1	13989268-13989464	13989007-13989139	13990552-13990690	Low-grade glioma
BDNF-AS	27658241-27658544	27639844-27640005	27659170-27659228	Low-grade glioma
BDNF-AS	27658241-27658620	27639844-27640005	27659170-27659228	Low-grade glioma
MTMR2	95914242-95914312	95888155-95888261	95923874-95924000	Low-grade glioma
DNAL1	73653170-73653215	73644990-73645042	73654846-73654885	Low-grade glioma
NOVA2	45953780-45953946	45933733-45940945	45961009-45961153	Low-grade glioma
LINC02884	112238070-112238198	112229689-112234899	112360361-112360625	Low-grade glioma
SLC48A1	47772170-47772320	47760215-47760401	47779027-47779111	Low-grade glioma
TRMT10B	37763629-37763865	37761902-37762117	37768075-37768163	Low-grade glioma
VSIR	71761598-71762026	71760867-71760924	71773357-71773520	Low-grade glioma
MIB1	21773624-21773728	21768622-21768752	21778102-21778169	Low-grade glioma
ENSG00000233184	101080389-101083574	101077362-101077508	101086851-101087261	Low-grade glioma
MLIP	54149056-54149127	54136714-54138286	54160366-54160432	Low-grade glioma
TEX26	30966222-30966398	30956872-30957029	30968884-30969046	Low-grade glioma
TESC	117041947-117041994	117038922-117039210	117046558-117046666	Low-grade glioma
DCAF11	24115382-24115392	24114776-24115293	24115542-24115726	Low-grade glioma
ENTPD6	25206522-25206590	25196153-25196254	25207075-25207397	Low-grade glioma
ATRN	3545762-3545890	3540221-3540335	3547283-3547489	Low-grade glioma
TNRC6C	78031516-78031842	78005055-78005079	78048844-78051448	Low-grade glioma
SORCS3	105139397-105139486	105105396-105105515	105147616-105147796	Low-grade glioma
DPY19L4	94726331-94726441	94719702-94720014	94734629-94734754	Low-grade glioma
ZNF815P	5831181-5831283	5823159-5823526	5833526-5833568	Low-grade glioma
EIF4G3	20941491-20942330	20904882-20904971	20950002-20950108	Low-grade glioma
AGPAT4	161166248-161166417	161154148-161154310	161232035-161232236	Low-grade glioma
LINGO1	77734992-77735053	77690719-77690901	77795938-77796053	Low-grade glioma
PSRC1	109281137-109281251	109280776-109281046	109282517-109282575	Low-grade glioma
GMDS-DT	2269698-2269799	2263600-2263684	2398576-2398778	Low-grade glioma
SLC26A11	80227818-80227960	80225581-80225916	80236927-80237010	Low-grade glioma
BOP1	144289095-144289304	144276223-144276304	144291271-144291367	Low-grade glioma
SLC38A1	46239679-46239893	46229563-46229639	46243199-46243314	Low-grade glioma
NOVA1-DT	26637195-26637333	26598565-26600187	26724747-26724794	Low-grade glioma
AARS2	44307249-44307394	44306922-44307031	44310298-44310443	Low-grade glioma
LSP1	1881432-1881596	1880086-1880224	1883418-1883428	Low-grade glioma
GID4	18061845-18061975	18058867-18058969	18065179-18065283	Low-grade glioma
RMND1	151427482-151427582	151421244-151423631	151430137-151430177	Low-grade glioma
ASNS	97868908-97869105	97864258-97864496	97872350-97872467	Low-grade glioma
UNG	109101902-109101999	109099188-109099284	109102838-109102927	Low-grade glioma
PPP2R5C	101909589-101909690	101906401-101906529	101912400-101912473	Low-grade glioma
GALNT13	153900936-153901007	153871921-153872303	153944393-153944639	Low-grade glioma
ZNF532	58865470-58865579	58862947-58863166	58918270-58918492	Low-grade glioma
CPNE4	131542557-131542793	131533561-131535329	131549946-131550080	Low-grade glioma
MYOT	137881973-137882105	137880617-137880865	137883383-137883584	Low-grade glioma
TOR1AIP1	179889310-179889369	179884691-179884769	179900125-179900167	Low-grade glioma
GARS1-DT	30579231-30579314	30579005-30579128	30585329-30585456	Low-grade glioma
CABIN1	24091583-24091843	24087451-24087713	24095930-24096082	Low-grade glioma
ABI3BP	100926302-100926481	100902617-100902686	100993305-100993421	Low-grade glioma
HORMAD2-AS1	30018617-30018729	30008741-30009196	30040176-30040278	Low-grade glioma
RALGPS2	178821612-178821704	178811314-178811404	178833423-178833550	Low-grade glioma
INTS11	1320996-1321093	1315519-1315618	1324580-1324603	Low-grade glioma
GK5	142198802-142198933	142187703-142187779	142204694-142204788	Low-grade glioma
AMOTL2	134358540-134358719	134355346-134357763	134359282-134359503	Low-grade glioma
GRK6	177431995-177432107	177430871-177430967	177432232-177432257	Low-grade glioma
RPL10A	35468799-35468873	35468400-35468439	35468946-35469027	Low-grade glioma
ENSG00000269755	12466724-12466850	12457430-12457576	12484654-12484816	Low-grade glioma
MTERF1	91880055-91880113	91870928-91874764	91880656-91880679	Low-grade glioma
PHB	49413177-49413291	49411677-49411839	49414834-49414858	Low-grade glioma
PLAUR	43655439-43655573	43652224-43652371	43656478-43656573	Low-grade glioma
SEPTIN10	109574581-109574767	109567814-109567976	109593050-109593119	Low-grade glioma
ARID1B	156829227-156829421	156776861-156779471	156901375-156901525	Low-grade glioma
NUP54	76124649-76124756	76117663-76118194	76130655-76130701	Low-grade glioma
CLPB	72402966-72403052	72380280-72380384	72430311-72430363	Low-grade glioma
CFAP43	104167621-104167737	104166487-104166718	104168743-104168848	Low-grade glioma
PACSIN2	42890947-42891182	42888642-42888798	42893456-42893613	Low-grade glioma
ADGRV1	91153221-91153398	91102218-91102340	91163781-91164166	Low-grade glioma
ARNTL	13349945-13350070	13309985-13310059	13354300-13354448	Low-grade glioma
ID2-AS1	8675744-8676029	8672836-8673307	8677977-8678334	Low-grade glioma
ZNF721	472575-472701	439987-444432	499055-499156	Low-grade glioma
MMD2	4920171-4920331	4916004-4916079	4925450-4925532	Low-grade glioma
RMC1	23509193-23509279	23504370-23504447	23515855-23515886	Low-grade glioma
SSBP2	81615473-81615557	81513627-81513717	81636556-81636618	Low-grade glioma
AAK1	69478951-69479061	69476879-69476990	69480859-69480961	Low-grade glioma
FAM102A	127948368-127948414	127945648-127945753	127950422-127950539	Low-grade glioma
BMF	40104180-40104340	40087889-40091888	40105794-40106091	Low-grade glioma
BMF	40104243-40104340	40091786-40091888	40105794-40106086	Low-grade glioma
ZNF334	46504214-46504359	46501067-46503097	46504613-46504740	Low-grade glioma
RIF1	151441905-151441991	151440026-151440127	151443258-151443329	Low-grade glioma
MORN3	121654274-121654433	121652727-121652808	121659190-121659348	Low-grade glioma
PPP1R17	31696965-31697117	31692405-31692523	31707203-31707409	Low-grade glioma
MAN2A2	90903231-90903432	90902274-90902526	90904189-90904339	Low-grade glioma
HLA-DOA	33007311-33007592	33007079-33007215	33008012-33008261	Low-grade glioma
DHX40	59566627-59566794	59565557-59565783	59570517-59570663	Low-grade glioma
CROCCP3	16489685-16489791	16486425-16486661	16490617-16490783	Low-grade glioma
NWD1	16744421-16745147	16736633-16736750	16749138-16750411	Low-grade glioma
SNTG1	50394212-50394265	50172560-50172635	50438542-50438599	Low-grade glioma
COL16A1	31697906-31698172	31697219-31697300	31699812-31699930	Low-grade glioma
ZNF283	43831318-43831381	43828195-43828281	43835504-43835592	Low-grade glioma
BRAP	111683146-111683307	111679150-111679340	111685710-111685956	Low-grade glioma
ZNF397	35254232-35254402	35243151-35243293	35257927-35258049	Low-grade glioma
ENSG00000232759	22564966-22565152	22563336-22563430	22571774-22572013	Low-grade glioma
PLAAT5	63488871-63488976	63466109-63466372	63490242-63490333	Low-grade glioma
RALGPS1	127034431-127034514	126977694-126977745	127052846-127052939	Low-grade glioma
POLR2H	184363226-184363565	184361788-184362146	184364965-184365049	Low-grade glioma
NRN1	6003169-6003273	6002352-6002497	6003702-6004044	Low-grade glioma
EPB41L1	36112426-36112480	36092709-36092813	36125422-36125527	Low-grade glioma
ZBTB20	114710268-114710313	114693527-114693575	114758895-114758940	Low-grade glioma
SPARCL1	87504822-87504923	87499520-87499585	87528125-87528233	Low-grade glioma
TRPV4	109800618-109800758	109798613-109798912	109802990-109803143	Low-grade glioma
C2orf80	208170945-208171063	208168381-208168495	208171987-208172075	Low-grade glioma
PDPR	70130423-70130544	70128783-70129122	70131301-70131419	Low-grade glioma
BRF1	105286296-105286376	105272720-105272894	105300445-105300468	Low-grade glioma
RPS24	78040615-78040747	78037193-78037304	78054530-78056813	Low-grade glioma
CHEK2	28734403-28734727	28725242-28725367	28741768-28741783	Low-grade glioma
ANK1	41661430-41661564	41653224-41655753	41661875-41661941	Low-grade glioma
BIN1	127050421-127050522	127048026-127048633	127059010-127059155	Low-grade glioma
OGFOD3	82394331-82394543	82392009-82392534	82398195-82398319	Low-grade glioma
PSME3IP1	57174169-57174286	57173727-57173869	57185544-57185822	Low-grade glioma
SCMH1	41159725-41159933	41152598-41152741	41160874-41160898	Low-grade glioma
RNLS	88582202-88582307	88572902-88573061	88583072-88583190	Low-grade glioma
AP3S1	115895087-115895158	115870016-115870128	115913361-115913900	Low-grade glioma
ACSS1	25020010-25020147	25015137-25015230	25021388-25021536	Low-grade glioma
AMOTL2	134358540-134358716	134355876-134357763	134359282-134359503	Low-grade glioma
RPP38	15102218-15102336	15097236-15097398	15103304-15103713	Low-grade glioma
PAQR5	69359966-69360131	69337340-69337501	69379882-69380010	Low-grade glioma
TTC23	99245389-99245510	99228532-99228732	99249416-99249518	Low-grade glioma
KARS1	75644283-75644462	75641563-75641723	75647463-75647655	Low-grade glioma
SENP3	7570883-7570933	7570680-7570764	7571372-7571461	Low-grade glioma
NPL	182806145-182806232	182803697-182803771	182812155-182812190	Low-grade glioma
NPL	182806145-182806531	182803697-182803771	182812155-182812213	Low-grade glioma
ZZZ3	77639449-77639602	77584516-77584655	77641383-77641446	Low-grade glioma
SEPTIN2	241317499-241317599	241315943-241315982	241335125-241335146	Low-grade glioma
THAP6	75539859-75539959	75516771-75516979	75542408-75542486	Low-grade glioma
PCDH15	53866642-53866857	53857174-53857263	53903242-53903370	Low-grade glioma
PLD2	4807984-4808114	4807771-4807881	4808273-4808416	Low-grade glioma
TRAK1	42087104-42087400	42013801-42014117	42125419-42125614	Low-grade glioma
FABP6	160229546-160229624	160213735-160213819	160232097-160232273	Low-grade glioma
IGSF1	131286437-131286463	131285766-131286048	131286604-131286741	Low-grade glioma
NR2F1-AS1	93438703-93438741	93409366-93411509	93544794-93544915	Low-grade glioma
CIITA	10935116-10935200	10923227-10923325	10941185-10943021	Low-grade glioma
PALS2	24623663-24623784	24573267-24573593	24641715-24641868	Low-grade glioma
PALS2	24623666-24623784	24573451-24573593	24641715-24641868	Low-grade glioma
RBPJ	26362446-26362628	26343171-26343223	26386352-26386391	Low-grade glioma
NSUN2	6625564-6625669	6623213-6623285	6631872-6631977	Low-grade glioma
NPIPB2	11956144-11956237	11937539-11937668	11976567-11976638	Low-grade glioma
ECPAS	111472897-111473000	111451424-111451555	111483503-111483679	Low-grade glioma
ABLIM1	114447880-114448026	114445311-114445403	114465697-114465827	Low-grade glioma
ADNP	50928651-50928825	50904765-50904849	50930825-50931375	Low-grade glioma
MLIP	54149056-54149127	54124472-54124865	54160366-54160432	Low-grade glioma
ST6GALNAC2	76578756-76578816	76574364-76574539	76585683-76585857	Low-grade glioma
MTMR9LP	32241137-32241204	32240640-32240664	32241406-32241605	Low-grade glioma
ANKAR	189711049-189711153	189706937-189707146	189719571-189719813	Low-grade glioma
HIGD1A	42794157-42794275	42786027-42786162	42804171-42804433	Low-grade glioma
ICA1L	202870530-202870656	202828847-202829016	202870929-202871046	Low-grade glioma
SIPA1L2	232533490-232533583	232513856-232515608	232574173-232574222	Low-grade glioma
FES	90885412-90885585	90885036-90885258	90886960-90887015	Low-grade glioma
COL27A1	114265066-114265110	114264923-114264968	114265421-114265475	Low-grade glioma
DUS4L-BCAP29	107571145-107571266	107567049-107567186	107575187-107575310	Low-grade glioma
DHRS4	23966283-23966417	23955034-23955212	23967210-23967266	Low-grade glioma
COL27A1	114269241-114269294	114267503-114267557	114270727-114270781	Low-grade glioma
STAG2	124021367-124021431	123960863-123960942	124022530-124022671	Low-grade glioma
SOX1-OT	112088046-112088260	112057057-112057183	112098315-112099924	Low-grade glioma
CLIP4	29174373-29175600	29167475-29167540	29181571-29183791	Low-grade glioma
CYB561A3	61357733-61357828	61356410-61356728	61361732-61361819	Low-grade glioma
MLF1	158602807-158602939	158600013-158600173	158605096-158605218	Low-grade glioma
SNX31	100657724-100657867	100635896-100636011	100663141-100663219	Low-grade glioma
CCDC81	86387516-86387659	86386050-86386112	86395333-86395413	Low-grade glioma
PTPRZ1	121967951-121968130	121928155-121928221	121972540-121972692	Low-grade glioma
GPR137B	236205126-236205250	236183777-236183906	236208049-236208907	Low-grade glioma
KCTD20	36470052-36470257	36442766-36443111	36481561-36481759	Low-grade glioma
PHF3	63646619-63646795	63635835-63636150	63679999-63680161	Low-grade glioma
FAM177A1	35077150-35077216	35053199-35053451	35078926-35079012	Low-grade glioma
LMO2	33869710-33869987	33869345-33869586	33881823-33881887	Low-grade glioma
EPN2	19279862-19279980	19237418-19237531	19281978-19282077	Low-grade glioma
SEC14L6	30532180-30532713	30531902-30531998	30532796-30532856	Low-grade glioma
NME9	138304873-138305027	138303506-138303643	138306003-138306096	Low-grade glioma
HNRNPR	23340852-23341017	23338269-23338608	23344210-23344284	Low-grade glioma
FKBP5	35580036-35580221	35576993-35577233	35587033-35587117	Low-grade glioma
MRS2	24408408-24408444	24405167-24405241	24412221-24412395	Low-grade glioma
PLAU	73912041-73912068	73911524-73911612	73912214-73912322	Low-grade glioma
LCTL	66563911-66563998	66561186-66561315	66565856-66565964	Low-grade glioma
DIS3	72780846-72781003	72778186-72778380	72781288-72781356	Low-grade glioma
FAR2	29297021-29297200	29270411-29270638	29307657-29307835	Low-grade glioma
XAF1	6759256-6759718	6758088-6758224	6760405-6760601	Low-grade glioma
KDM3B	138431425-138431559	138430248-138430425	138435619-138436032	Low-grade glioma
ENSG00000111788	9311141-9311290	9310338-9310441	9311549-9311618	Low-grade glioma
GHR	42629038-42629103	42565855-42565944	42688889-42689019	Low-grade glioma
GBA	155244095-155244230	155239885-155240077	155244505-155244606	Low-grade glioma
ANO5	22211264-22211314	22193072-22193532	22221096-22221210	Low-grade glioma
RPH3A	112828301-112828389	112792015-112792263	112847695-112847842	Low-grade glioma
PLBD1	14553193-14553412	14542207-14542291	14567581-14567883	Low-grade glioma
DNHD1	6538383-6538510	6533680-6533806	6538611-6538810	Low-grade glioma
KCNC3	50322975-50324082	50320592-50320784	50333468-50333515	Low-grade glioma
CCT6P1	65754527-65754661	65752163-65752310	65755779-65755952	Low-grade glioma
ENSG00000240240	40291749-40291919	40290088-40290207	40328917-40329205	Low-grade glioma
SHPRH	145922286-145922348	145921166-145921392	145922662-145922821	Low-grade glioma
ZNF213-AS1	3131747-3131921	3129460-3129653	3132018-3132053	Low-grade glioma
ARHGEF26-AS1	154030277-154030376	154024400-154026642	154108668-154108785	Low-grade glioma
ARHGEF26-AS1	154030277-154030379	154024414-154026642	154108668-154108785	Low-grade glioma
GLB1L	219243779-219243942	219243501-219243643	219245228-219245444	Low-grade glioma
ENOSF1	677345-677444	675320-675402	678695-678737	Low-grade glioma
ANXA2	60397258-60397338	60393012-60393440	60397942-60397964	Low-grade glioma
ZER1	128755408-128755659	128753808-128753959	128771580-128771927	Low-grade glioma
AP2A2	977095-977224	972061-972255	981197-981299	Low-grade glioma
SRCIN1	38568211-38568231	38564117-38564313	38578489-38578791	Low-grade glioma
BCO2	112179278-112179482	112175509-112175689	112193473-112193697	Low-grade glioma
ASIC4	219535171-219535324	219514343-219515306	219537065-219537157	Low-grade glioma
DNAI4	66891154-66891266	66874780-66874937	66905200-66905375	Low-grade glioma
NID1	236011921-236012043	235993644-235993872	236013410-236013560	Low-grade glioma
PICK1	38059234-38059345	38057652-38057850	38065001-38065130	Low-grade glioma
PTPRG	62231225-62231311	62218850-62218983	62243806-62243898	Low-grade glioma
PPARD	35410987-35411217	35347066-35347150	35420126-35420281	Low-grade glioma
TSBP1-AS1	32262612-32262809	32255287-32255414	32390213-32390753	Low-grade glioma
EFR3B	25091325-25091401	25042075-25042319	25103636-25103787	Low-grade glioma
EFR3B	25093003-25093130	25042075-25042319	25103636-25103787	Low-grade glioma
OPRL1	64092688-64092953	64080195-64080352	64097801-64098157	Low-grade glioma
P2RY14	151219535-151219642	151212116-151214340	151278286-151278542	Low-grade glioma
ENSG00000284626	90236063-90236181	90234521-90234596	90238491-90238548	Low-grade glioma
CDS2	5176648-5176745	5126878-5127149	5178816-5178956	Low-grade glioma
HPS1	98425818-98425985	98425540-98425720	98427214-98427264	Low-grade glioma
TRPM8	233930668-233930741	233926532-233926654	233937352-233937509	Low-grade glioma
CTU2	88707136-88707210	88706482-88706598	88709937-88710016	Low-grade glioma
NOL10	10654481-10654547	10644319-10644372	10657741-10657891	Low-grade glioma
MKLN1	131429033-131429145	131414644-131414710	131437784-131437997	Low-grade glioma
DYNC2H1	103399663-103399872	103358242-103358359	103435942-103436032	Low-grade glioma
ASTN2	116725771-116725950	116651527-116651793	116728991-116729096	Low-grade glioma
PCED1B-AS1	47209281-47209458	47205899-47206585	47210639-47210737	Low-grade glioma
ZSCAN21	100063788-100063979	100057697-100057890	100064082-100065038	Low-grade glioma
CACNA2D4	1810543-1810587	1810277-1810340	1811661-1811720	Low-grade glioma
SLC44A3-AS1	94705439-94705557	94679424-94679607	94819955-94820219	Low-grade glioma
EGF	110008152-110008230	110004500-110004622	110011201-110011491	Low-grade glioma
ABI3BP	100864002-100864076	100862837-100862909	100864832-100864907	Low-grade glioma
DLEU2	49993793-49993961	49975946-49976454	49997073-49997136	Low-grade glioma
NOX4	89342074-89342193	89340062-89340171	89354961-89355043	Low-grade glioma
STARD9	42583346-42583415	42575605-42575762	42585520-42585634	Low-grade glioma
ZNF112	44340416-44340542	44336622-44336718	44356625-44356680	Low-grade glioma
RPS3A	151102871-151103079	151100974-151101162	151104176-151104238	Low-grade glioma
TLR1	38804306-38804382	38798560-38798898	38804753-38804787	Low-grade glioma
PHC1	8919756-8919866	8917629-8917791	8920984-8921065	Low-grade glioma
RHBDD3	29260702-29260868	29260325-29260613	29261199-29261425	Low-grade glioma
DDB2	47232814-47232959	47216857-47217049	47234572-47234653	Low-grade glioma
NOL3	67174008-67174046	67170496-67170574	67174161-67174464	Low-grade glioma
PACRGL	20702141-20702221	20700465-20700611	20704465-20704524	Low-grade glioma
SMC5	70305247-70305360	70300045-70300200	70314741-70314836	Low-grade glioma
ARIH2	48945136-48945181	48918820-48918998	48961611-48961679	Low-grade glioma
PEAR1	156902188-156902285	156893719-156893837	156903917-156904027	Low-grade glioma
ARNT2	80442837-80443025	80441230-80441378	80450879-80450994	Low-grade glioma
SNHG17	38422291-38422368	38421005-38421098	38425934-38426503	Low-grade glioma
RYR3	33584395-33584490	33581507-33581643	33585997-33586116	Low-grade glioma
DISP1	222836996-222837066	222835118-222835215	222837218-222837380	Low-grade glioma
COPZ2	48036851-48036925	48033862-48033944	48037666-48037773	Low-grade glioma
GRIA1	153490929-153490970	153490267-153490449	153493927-153494065	Low-grade glioma
SERGEF	17988597-17988755	17959452-17959636	17992930-17992993	Low-grade glioma
SH3GL2	17747066-17747134	17579065-17579287	17761436-17761509	Low-grade glioma
DYNLT5	66776279-66776403	66770386-66770478	66777250-66777701	Low-grade glioma
SULF1	69603600-69603656	69603191-69603320	69604802-69604932	Low-grade glioma
SRCIN1	38568211-38568234	38564117-38564313	38578489-38578791	Low-grade glioma
RHBDD3	29260702-29260864	29260325-29260613	29265478-29265668	Low-grade glioma
FBN3	8109631-8109753	8109226-8109388	8111057-8111183	Low-grade glioma
PCNX1	71009634-71009724	70988566-70988699	71011491-71011549	Low-grade glioma
NSD2	1961035-1961151	1959295-1959740	1974862-1975004	Low-grade glioma
BLOC1S6	45592135-45592276	45587589-45587796	45605427-45605514	Low-grade glioma
PABPC1L	44938674-44938748	44938044-44938191	44958336-44958952	Low-grade glioma
C2CD2	41899053-41899347	41885111-41889344	41901621-41901652	Low-grade glioma
USP49	41891794-41891875	41871563-41871637	41893932-41894455	Low-grade glioma
CDS2	5173523-5173659	5127007-5127149	5175182-5175279	Low-grade glioma
USP34-DT	61480325-61480583	61471748-61471808	61482626-61483913	Low-grade glioma
TLR1	38800857-38800948	38796254-38798898	38804753-38804787	Low-grade glioma
BCL2L11	111150044-111150147	111123732-111124139	111164132-111164231	Low-grade glioma
CHD6	41487665-41487808	41484351-41484607	41488427-41488604	Low-grade glioma
OXSM	25790990-25791315	25790089-25790147	25794091-25794523	Low-grade glioma
SETMAR	4312898-4313761	4303368-4303526	4316211-4317265	Low-grade glioma
RPL14	40461608-40461661	40461406-40461506	40461938-40462168	Low-grade glioma
CRACDL	98912748-98912985	98897376-98897478	98935937-98936259	Low-grade glioma
ITGA9-AS1	37806079-37806185	37790842-37790911	37808703-37808880	Low-grade glioma
TAF1	71459150-71459251	71458240-71458357	71459551-71459708	Low-grade glioma
NCOA6	34727259-34727407	34714773-34715365	34732558-34732595	Low-grade glioma
ERCC6	49530720-49530840	49528416-49528525	49532542-49532974	Low-grade glioma
NAGS	44007591-44007773	44006528-44007494	44008447-44009063	Low-grade glioma
WARS1	100374136-100374244	100369086-100369258	100375282-100375347	Low-grade glioma
ELOVL5	53273220-53273344	53270592-53270727	53275089-53275261	Low-grade glioma
DENND10	119104764-119105006	119104116-119104197	119105310-119105495	Low-grade glioma
CHI3L2	111230742-111230943	111229691-111229881	111231237-111231294	Low-grade glioma
GOLPH3L	150663632-150663763	150661813-150661928	150694655-150694850	Low-grade glioma
RBM5	50092043-50092208	50090369-50090451	50093719-50093783	Low-grade glioma
HERC6	88383221-88383380	88378738-88379120	88385498-88385575	Low-grade glioma
