Gene	Exon_coord	Upstream_exon_coord	Downstream_exon_coord	Histology
LRRC37A3	64889681-64889752	64869094-64869166	64892528-64892600	Ependymoma
CACNB1	39185950-39186104	39185130-39185150	39186495-39186572	Ependymoma
CCDC122	43869331-43869489	43859671-43860070	43874841-43874927	Ependymoma
MRNIP	179853197-179853276	179844151-179844227	179853377-179853437	Ependymoma
CDPF1	46248172-46248284	46244012-46245238	46250255-46250289	Ependymoma
TTC28-AS1	27997986-27998838	27997410-27997739	27999429-28000723	Ependymoma
TTC28-AS1	27998604-27998838	27997410-27997739	27999429-27999476	Ependymoma
CNTN1	40895950-40896109	40742352-40742469	40908356-40908493	Ependymoma
NR2F1-AS1	93500957-93501160	93409366-93411509	93504591-93506495	Ependymoma
PTPN20	46947841-46947955	46946562-46946675	46964985-46965137	Ependymoma
DGLUCY	91145221-91145313	91114685-91114994	91157638-91157690	Ependymoma
PWWP2A	160080651-160080770	160075881-160078168	160093100-160094065	Ependymoma
DSC3	30994454-30994496	30990085-30994372	30996790-30997048	Ependymoma
ADAMTSL3	83961573-83961801	83942902-83943082	83970483-83970637	Ependymoma
SIPA1L1	71413948-71414014	71321390-71321531	71512742-71512845	Ependymoma
FOLR1	72190576-72190641	72189667-72189759	72192165-72192341	Ependymoma
SFXN5	73042488-73042585	73040853-73040931	73058527-73058596	Ependymoma
CCDC18-AS1	93311490-93311608	93305387-93305470	93324634-93324729	Ependymoma
PLEKHA4	48839205-48839263	48838016-48838129	48841148-48841310	Ependymoma
MSL1	40131537-40131584	40129244-40129627	40132033-40132042	Ependymoma
IFI27	94116074-94116294	94115780-94115942	94116441-94116694	Ependymoma
TMEM232	110528588-110528835	110424822-110424916	110568446-110568625	Ependymoma
PYROXD1	21456865-21457086	21455994-21456095	21461024-21461061	Ependymoma
ZNF56P	19788950-19789072	19786608-19786691	19789679-19789821	Ependymoma
DNAJC27-AS1	25003985-25004110	25001414-25001545	25035272-25035977	Ependymoma
PDE8B	77349419-77349559	77344852-77344931	77400247-77400290	Ependymoma
IVD	40424135-40424216	40416289-40416362	40435416-40435947	Ependymoma
WDR27	169636371-169636504	169634427-169634525	169638538-169638660	Ependymoma
NRG4	75959022-75959140	75955931-75956011	75961827-75961974	Ependymoma
NRG4	75971166-75971248	75969128-75969224	76009199-76009293	Ependymoma
ADGB	146715382-146715415	146700940-146701070	146716882-146717069	Ependymoma
FHAD1	15324452-15324559	15317823-15317928	15327058-15327142	Ependymoma
DNAJB13	73959494-73959655	73958316-73958420	73964877-73965035	Ependymoma
PFKM	48108072-48108194	48105922-48106137	48122766-48122859	Ependymoma
C16orf46	81066193-81066281	81060979-81062138	81077135-81077238	Ependymoma
FAM86EP	3947742-3948007	3943273-3943372	3948089-3948220	Ependymoma
ANGPTL1	178869114-178869223	178864953-178865802	178870740-178871077	Ependymoma
TCTN1	110628052-110628224	110626361-110626492	110628796-110630216	Ependymoma
ILK	6604853-6604943	6604179-6604360	6608045-6608211	Ependymoma
RINT1	105535572-105535691	105532823-105532869	105536564-105536749	Ependymoma
UBXN11	26302813-26302918	26297961-26298062	26306591-26306609	Ependymoma
RPL23AP82	50791177-50791303	50785172-50785293	50798654-50799196	Ependymoma
PAMR1	35453365-35453433	35451887-35451938	35468000-35468108	Ependymoma
IL18	112150997-112151072	112150071-112150206	112153591-112153603	Ependymoma
IQCD	113200580-113200813	113195445-113195889	113220996-113221094	Ependymoma
PRDX5	64319734-64319868	64318120-64318386	64320864-64320903	Ependymoma
DMKN	35507458-35507511	35505938-35505986	35510183-35510211	Ependymoma
ZNF185	152922720-152922809	152922172-152922256	152928574-152928661	Ependymoma
WDR38	124856240-124856320	124855796-124855958	124856468-124856600	Ependymoma
CCDC157	30375486-30375663	30373922-30374091	30376258-30376347	Ependymoma
CLDN12	90466410-90466513	90405518-90405608	90479227-90479274	Ependymoma
ENSG00000288981	65075474-65075670	65034825-65035269	65075843-65075912	Ependymoma
ELOA-AS1	23772272-23772426	23772110-23772166	23778198-23778289	Ependymoma
FBH1	5924751-5924801	5924310-5924508	5925366-5925492	Ependymoma
SNHG11	38447930-38448093	38446886-38447623	38448665-38448730	Ependymoma
CFAP410	44334061-44335804	44333032-44333262	44337648-44337667	Ependymoma
MOK	102231707-102231821	102229213-102229657	102232534-102232671	Ependymoma
INCENP	62141500-62141511	62140912-62141044	62144981-62145091	Ependymoma
ANKMY1	240511861-240512001	240500451-240500565	240512801-240512942	Ependymoma
RBFOX1	7671557-7671599	7664928-7664968	7676773-7676838	Ependymoma
ENSG00000226690	12522971-12523426	12504440-12504546	12525819-12525904	Ependymoma
NEK10	27162461-27162601	27141481-27141582	27162700-27162738	Ependymoma
SPATA6L	4617923-4618110	4605346-4605440	4622407-4622510	Ependymoma
EFHB	19920505-19920567	19919832-19919976	19936140-19936334	Ependymoma
MAMSTR	48714366-48714560	48713859-48714045	48714805-48714908	Ependymoma
FAM86JP	125923879-125924140	125920824-125920905	125924965-125925115	Ependymoma
HOGA1	97598775-97598903	97584322-97584914	97601856-97601990	Ependymoma
WDR49	167633409-167633532	167604300-167604468	167653260-167653499	Ependymoma
LINCR-0003	57581606-57581688	57578835-57578914	57614176-57614501	Ependymoma
TP53I11	44939114-44939190	44938206-44938366	44950876-44951306	Ependymoma
CDC42BPB	102954198-102954275	102952497-102952603	102954601-102954688	Ependymoma
SCIN	12577542-12577759	12570720-12570985	12578063-12578150	Ependymoma
ENSG00000286330	74331952-74332013	74288069-74288219	74365024-74365087	Ependymoma
DNAH12	57457721-57458003	57454774-57454894	57458098-57458220	Ependymoma
ENSG00000286330	74356147-74356322	74331951-74332013	74365024-74365061	Ependymoma
PCYT2	81910901-81911015	81909513-81909602	81911266-81911377	Ependymoma
ANKRD29	23609224-23609291	23601045-23601309	23612091-23612190	Ependymoma
CFAP299	80608333-80608383	80583092-80583183	80639717-80639835	Ependymoma
MIR99AHG	16383160-16383304	16231055-16231115	16391613-16391685	Ependymoma
AGT	230713283-230713369	230709994-230710853	230714085-230714122	Ependymoma
FANK1	125973373-125973495	125896563-125896655	125988550-125988675	Ependymoma
PLB1	28603966-28604047	28602820-28602921	28606495-28606567	Ependymoma
CCDC125	69292188-69292362	69285336-69285467	69294792-69294900	Ependymoma
ZNF821	71861776-71861942	71859679-71860672	71864137-71864242	Ependymoma
ENSG00000248161	102419697-102419794	102418601-102418988	102431061-102431249	Ependymoma
ZNF75A	3313049-3313175	3312676-3312768	3316911-3316924	Ependymoma
CXXC4	104494506-104494581	104490743-104492059	104494700-104494901	Ependymoma
PFKL	44305800-44305935	44305256-44305417	44306680-44306754	Ependymoma
FBXL13	103046809-103047020	103029350-103029418	103055643-103055747	Ependymoma
NEK5	52127595-52127662	52127365-52127504	52129028-52129073	Ependymoma
C8orf34-AS1	68308860-68308963	68306517-68306598	68331306-68331509	Ependymoma
IFI27L1	94101814-94102059	94096886-94096965	94102476-94102641	Ependymoma
KIF23-AS1	69400973-69401027	69396903-69397748	69414151-69415029	Ependymoma
ADGB	146600333-146600363	146598966-146599114	146635392-146635537	Ependymoma
TRIQK	92921503-92921660	92916928-92917007	92966006-92966111	Ependymoma
PAX3	222287376-222287529	222262543-222265125	222294166-222294194	Ependymoma
ZNF345	36854450-36854594	36851829-36851904	36892817-36893030	Ependymoma
ENSG00000228061	31727787-31727895	31689181-31689436	31767230-31767382	Ependymoma
ELOVL6	110093106-110093134	110059602-110059754	110105496-110105628	Ependymoma
TBCEL	121035733-121035944	121024120-121024291	121036504-121036612	Ependymoma
LRRC23	6909890-6910026	6906408-6906662	6913890-6914228	Ependymoma
EPB41L3	5400497-5400595	5398020-5398143	5406776-5406968	Ependymoma
MIR100HG	122294842-122295005	122292283-122292403	122367495-122367658	Ependymoma
CDKL3	134359897-134360091	134321790-134321903	134370997-134371041	Ependymoma
CATSPERE	244605695-244605794	244593498-244593578	244610239-244610326	Ependymoma
FAM166C	26572116-26572151	26562584-26562686	26575901-26576175	Ependymoma
MRPS28	80028695-80028796	80002998-80003120	80029904-80029974	Ependymoma
SLC16A6	68285545-68285642	68278088-68278327	68291085-68291182	Ependymoma
SRRM1	24648024-24648166	24647078-24647208	24648858-24648887	Ependymoma
SLC16A12	89534501-89534640	89462378-89462624	89535441-89535594	Ependymoma
AMOTL1	94795011-94795160	94768355-94768560	94799389-94799539	Ependymoma
STK33	8476687-8476751	8474680-8475066	8477249-8477283	Ependymoma
STK33	8480534-8480614	8477249-8477283	8594082-8594160	Ependymoma
ENSG00000226690	12530387-12530502	12528901-12529044	12531012-12531092	Ependymoma
DGUOK	73938910-73939022	73926825-73927052	73958145-73958245	Ependymoma
CHD3	7907601-7907702	7907352-7907488	7907893-7908019	Ependymoma
FAM47E-STBD1	76278069-76278224	76271567-76271768	76309143-76311120	Ependymoma
LINC00907	42186167-42186391	42159282-42159477	42186691-42186762	Ependymoma
CEP63	134558142-134558347	134551925-134552012	134561376-134561749	Ependymoma
CAPS2	75298687-75298780	75293248-75293367	75304756-75304876	Ependymoma
SLC14A1	45729986-45730120	45724949-45725013	45730299-45730471	Ependymoma
FAM47E-STBD1	76268660-76268813	76263703-76263843	76309143-76310044	Ependymoma
ATF5	49929701-49929865	49929221-49929400	49930731-49931028	Ependymoma
MORF4L2	103684681-103684729	103676494-103677051	103685170-103685260	Ependymoma
ENSG00000267120	35740380-35740564	35739709-35740088	35741023-35741228	Ependymoma
CALCRL	187387329-187387465	187385544-187385631	187387665-187387756	Ependymoma
DUSP18	30664955-30665121	30663514-30664080	30666806-30667860	Ependymoma
SEPTIN7P14	119457971-119458170	119454790-119455133	119460182-119460242	Ependymoma
CCDC125	69313985-69314046	69311117-69311204	69320236-69320580	Ependymoma
RMST	97483431-97483488	97465667-97465727	97492460-97492606	Ependymoma
RPS15	1439716-1439826	1438806-1438892	1440018-1440233	Ependymoma
ADD2	70673241-70673326	70672877-70673006	70674677-70674825	Ependymoma
ZNF772	57476380-57476672	57474360-57474421	57477276-57477520	Ependymoma
BCL2L12	49667022-49667161	49666684-49666799	49668850-49668937	Ependymoma
KLF7	207148982-207149200	207124352-207124404	207165466-207165706	Ependymoma
SLCO4A1	62668155-62668184	62667740-62667910	62668476-62668541	Ependymoma
SLCO4A1	62668158-62668184	62667869-62667910	62668476-62668541	Ependymoma
ITGB1	32953593-32953809	32935491-32935558	32957758-32957894	Ependymoma
MCTP2	94314727-94314864	94314281-94314344	94315528-94315637	Ependymoma
PYROXD2	98387865-98388084	98387200-98387307	98388353-98388436	Ependymoma
PSPC1	19705662-19705831	19677723-19677823	19730238-19730344	Ependymoma
WARS1	100374136-100374220	100361830-100361921	100375282-100375344	Ependymoma
CCDC30	42521163-42521256	42498817-42498916	42534888-42534989	Ependymoma
PPP1R42	67014426-67014592	67012957-67013096	67017618-67017831	Ependymoma
MOK	102278606-102278694	102263536-102263616	102283477-102283592	Ependymoma
IL20RA	137011274-137011452	137008887-137009492	137016967-137017103	Ependymoma
RFX2	6072005-6072147	6047406-6047504	6110392-6110476	Ependymoma
ROR2	91883258-91883383	91775740-91775818	91948606-91948676	Ependymoma
DIS3L2	232259841-232260685	232249238-232249346	232263206-232263440	Ependymoma
ZNF18	11993502-11993654	11992539-11992911	11997430-11997475	Ependymoma
RPS19BP1	39530464-39530554	39529819-39529917	39532394-39532523	Ependymoma
NR2F1-AS1	93504592-93506495	93438702-93438741	93553760-93553863	Ependymoma
MROH8	37141162-37141314	37137809-37137970	37143716-37143841	Ependymoma
ZSCAN32	3390010-3390133	3383700-3384941	3397191-3397744	Ependymoma
SSX2IP	84680338-84680387	84671188-84671308	84690153-84690468	Ependymoma
NMI	151288891-151289077	151282867-151282954	151289592-151289894	Ependymoma
FAM167A-AS1	11378873-11379024	11368401-11368452	11383812-11384001	Ependymoma
MEAK7	84503958-84504147	84497933-84498111	84504600-84504647	Ependymoma
MYB	135196961-135197323	135195747-135196002	135198907-135199050	Ependymoma
CCDC81	86408127-86408270	86407613-86407701	86409260-86409365	Ependymoma
C2CD3	74069648-74069912	74057405-74057544	74074252-74074600	Ependymoma
ENSG00000285897	58347675-58347851	58347528-58347584	58351401-58351508	Ependymoma
GOLGA2	128267194-128267274	128266286-128266325	128267457-128267517	Ependymoma
AMZ2P1	64973232-64973517	64972753-64972927	64974554-64974641	Ependymoma
ZNF720	31723258-31723353	31713243-31713435	31753765-31753856	Ependymoma
HPS1	98435272-98435414	98433939-98434091	98435634-98435772	Ependymoma
ZBTB7C	48185324-48185455	48165130-48165257	48185933-48185995	Ependymoma
CAMTA1	6853052-6853189	6825109-6825210	6871756-6871840	Ependymoma
MRPL11	66436802-66436909	66435833-66436112	66437103-66437222	Ependymoma
RNF8	37359183-37359342	37353978-37354275	37360445-37360574	Ependymoma
NKAIN2	124121878-124121941	123804140-123804254	124283004-124283142	Ependymoma
OBI1-AS1	78188309-78188436	78054867-78055064	78189607-78189696	Ependymoma
CFAP299	80639718-80639835	80583092-80583183	80869992-80870135	Ependymoma
NDRG4	58500988-58501077	58494963-58495008	58503743-58503903	Ependymoma
HYDIN	71203725-71204057	71186776-71186918	71230659-71230714	Ependymoma
CYB5B	69456165-69456295	69448114-69448144	69459092-69459121	Ependymoma
PAX8-AS1	113255390-113255549	113235518-113235570	113263277-113263454	Ependymoma
MAD2L2	11681039-11681438	11680561-11680613	11691412-11691650	Ependymoma
CCT3	156337079-156337240	156335826-156335888	156338153-156338247	Ependymoma
IDNK	83628181-83628211	83623142-83623221	83641547-83641591	Ependymoma
NMNAT3	139573598-139573680	139560179-139561392	139578871-139579055	Ependymoma
LTN1	28964577-28964766	28960516-28960706	28965864-28965906	Ependymoma
RORC	151830928-151831132	151829428-151829458	151831724-151831750	Ependymoma
NSL1	212766189-212766273	212738561-212738686	212782371-212782426	Ependymoma
LINC00963	129504892-129505043	129503322-129503672	129513418-129513670	Ependymoma
HACL1	15586525-15586602	15582876-15582989	15589539-15589612	Ependymoma
SIK3	116875866-116876009	116875373-116875451	116876252-116876363	Ependymoma
EEF2KMT	5091794-5091895	5090083-5090565	5093483-5093564	Ependymoma
ZBED3-AS1	77100236-77100391	77098654-77098747	77105655-77105689	Ependymoma
ANKMY1	240511861-240512001	240509347-240509455	240512801-240512942	Ependymoma
GRAMD2A	72175709-72175827	72169846-72169939	72197730-72197787	Ependymoma
CCDC24	43992153-43992387	43991846-43992004	43993889-43995162	Ependymoma
RMST	97491644-97491712	97463151-97463289	97492460-97492606	Ependymoma
LINC00174	66467682-66467719	66450070-66450236	66479008-66479096	Ependymoma
CYB5RL	54190738-54190896	54187651-54187739	54195418-54195436	Ependymoma
COPB2-DT	139561653-139561748	139423015-139423114	139577791-139577850	Ependymoma
PPP1R12B	202558877-202558893	202539839-202540241	202562777-202562922	Ependymoma
ENSG00000251002	22427689-22427822	22418089-22418935	22432665-22432734	Ependymoma
HYDIN2	146764829-146765043	146757607-146757781	146773530-146773714	Ependymoma
PDE4DIPP6	148424063-148424189	148420371-148420607	148424626-148424638	Ependymoma
TBPL1	133968855-133968957	133952285-133952730	133980081-133980260	Ependymoma
ENSG00000188002	1626786-1626926	1602690-1602735	1632643-1632751	Ependymoma
CCDC136	128814638-128814919	128807359-128807545	128817757-128817864	Ependymoma
MYLK-AS1	123611235-123611355	123585563-123585794	123629490-123629681	Ependymoma
PIK3C2A	17204307-17204375	17155525-17155629	17207847-17207983	Ependymoma
FOXP2	114285405-114285456	114162943-114163088	114288018-114288109	Ependymoma
FANCI	89245195-89245311	89244003-89244033	89247628-89247731	Ependymoma
NEBL	21251732-21251828	21172382-21172477	21292829-21293011	Ependymoma
DNASE1L1	154409418-154409675	154409111-154409196	154411890-154412090	Ependymoma
ENSG00000239467	170777147-170777177	170770909-170771187	170777376-170777425	Ependymoma
IZUMO4	2098976-2099029	2098786-2098804	2099254-2099590	Ependymoma
MROH6	143568142-143568261	143567785-143567888	143568551-143568719	Ependymoma
SFMBT1	53018086-53018228	52969100-52969258	53043135-53043254	Ependymoma
ZSCAN18	58093228-58093398	58089864-58090386	58097929-58098210	Ependymoma
ZBBX	167373706-167373787	167372833-167372950	167380246-167380283	Ependymoma
ZBBX	167373706-167373787	167372833-167372950	167379637-167379792	Ependymoma
CFAP100	126395325-126395429	126394938-126394978	126395941-126396049	Ependymoma
LONRF3	118982821-118982943	118978344-118978463	118989407-118989672	Ependymoma
GASK1B-AS1	158198788-158198870	158179660-158179735	158199087-158199486	Ependymoma
SLC14A1	45729986-45730120	45727373-45727418	45730299-45730471	Ependymoma
CUTALP	120844993-120845196	120843099-120843439	120847293-120847353	Ependymoma
CCDC33	74333221-74333322	74332678-74332845	74333880-74333967	Ependymoma
GOLGA2P5	100157349-100157445	100157164-100157256	100157527-100157739	Ependymoma
WARS2-AS1	119141747-119141813	119140729-119140793	119146952-119147069	Ependymoma
DNAL1	73651167-73651327	73645016-73645042	73653169-73653215	Ependymoma
STRN4	46739310-46739386	46738784-46738888	46746148-46746881	Ependymoma
CFAP61	20225289-20225589	20199767-20199902	20228248-20228376	Ependymoma
RARA	40326475-40326551	40322990-40323259	40330856-40331396	Ependymoma
TOR2A	127734299-127734564	127731524-127733560	127735119-127735292	Ependymoma
LINC00271	135498404-135498517	135497805-135498000	135518592-135518830	Ependymoma
DYNLT5	66755680-66755773	66754655-66754777	66770386-66770507	Ependymoma
ENSG00000288869	69790265-69790436	69789543-69789926	69794072-69794164	Ependymoma
RANBP10	67759573-67759732	67744287-67744455	67772033-67772086	Ependymoma
NPIPB2	11963891-11964026	11956143-11956237	11976567-11976638	Ependymoma
EZH1	42731775-42731893	42730827-42730918	42745010-42745035	Ependymoma
CDK7	69250745-69250831	69235393-69235453	69252417-69252451	Ependymoma
ENSG00000267002	43166980-43167849	43159422-43159727	43170125-43170316	Ependymoma
PACRGL	20701758-20701884	20700412-20700578	20702140-20702221	Ependymoma
PPP1R16A	144478586-144478682	144477982-144478127	144490033-144490212	Ependymoma
CA5B	15745631-15745710	15721496-15721592	15749970-15750165	Ependymoma
WARS1	100365475-100365576	100361707-100361921	100369086-100369258	Ependymoma
SQSTM1	179820104-179820387	179818966-179819037	179822957-179823053	Ependymoma
PYROXD2	98387865-98388084	98387200-98387307	98390597-98390754	Ependymoma
PPIP5K1	43569186-43569335	43568462-43568553	43571411-43571576	Ependymoma
BAG6	31639500-31639646	31639027-31639226	31640198-31640306	Ependymoma
ENSG00000215237	15007732-15007882	15001633-15001732	15011675-15011763	Ependymoma
GPR161	168134906-168135036	168104476-168104894	168137164-168137667	Ependymoma
GPCPD1	5567797-5567842	5567482-5567560	5570146-5570239	Ependymoma
LRRC23	6909890-6910026	6907314-6907445	6913890-6914228	Ependymoma
PLP1	103779849-103779990	103776873-103776999	103785581-103785768	Ependymoma
C15orf39	75198887-75199161	75195642-75195735	75201960-75202059	Ependymoma
RABL2A	113640894-113641005	113634152-113634232	113641352-113641450	Ependymoma
FAM81B	95424050-95424190	95420283-95420402	95428602-95428732	Ependymoma
C2orf73	54358959-54359074	54343719-54343873	54360202-54360350	Ependymoma
CALCRL	187387329-187387493	187385544-187385631	187387665-187387756	Ependymoma
STOML3	38980052-38980135	38976693-38976797	38990669-38990859	Ependymoma
VWA3A	22141203-22141249	22140153-22140244	22141581-22141692	Ependymoma
LRRC74B	21053808-21053997	21053359-21053475	21055097-21055176	Ependymoma
TMC1	72700518-72700643	72694530-72694714	72740118-72740209	Ependymoma
CHD1-DT	98971855-98972076	98929187-98929311	98976770-98976900	Ependymoma
CFAP57	43177121-43177211	43172731-43172910	43181533-43181679	Ependymoma
FANCI	89245195-89245311	89244016-89244067	89247628-89247731	Ependymoma
EEF1D	143586219-143586290	143581053-143581328	143586728-143586849	Ependymoma
ST6GAL1	186948855-186948938	186942347-186942427	186963784-186963926	Ependymoma
SSX2IP	84680338-84680387	84670645-84670815	84690370-84690461	Ependymoma
PAX6	31803584-31803726	31802703-31802834	31803951-31804237	Ependymoma
BBOF1	74046060-74046130	74040564-74040645	74047929-74048074	Ependymoma
LRRC71	156921602-156921689	156920911-156920963	156923948-156924098	Ependymoma
CNTN1	40763096-40763198	40742350-40742469	40908356-40908493	Ependymoma
GREP1	2995857-2995910	2995738-2995771	2996495-2996531	Ependymoma
TBL1X	9534900-9535034	9501779-9501849	9640272-9640360	Ependymoma
SKA2	59119319-59119495	59109856-59112345	59155130-59155184	Ependymoma
COMT	19961697-19961874	19961198-19961289	19962232-19962815	Ependymoma
SYTL4	100704811-100704886	100701927-100702107	100731417-100731505	Ependymoma
PROK2	71774445-71774507	71771654-71772828	71781466-71781592	Ependymoma
LRRIQ1	85072907-85073098	85066747-85066898	85098354-85098548	Ependymoma
MTHFD1	64390337-64390467	64388307-64388468	64400792-64400877	Ependymoma
ENSG00000288869	69790204-69790436	69789544-69789926	69794072-69794178	Ependymoma
WFDC3	45787836-45787982	45775416-45775602	45791831-45791903	Ependymoma
MEIG1	14966440-14966606	14959387-14959557	14972512-14972857	Ependymoma
DNAJC27-AS1	25027311-25027517	24972135-24972232	25035272-25035711	Ependymoma
CCDC173	169681007-169681181	169674936-169675040	169694260-169694405	Ependymoma
FAM124A	51245312-51245419	51231347-51231379	51251467-51252201	Ependymoma
CA7	66850541-66850659	66847029-66847227	66851462-66851558	Ependymoma
CCNJL	160276269-160276412	160259468-160259771	160280524-160280738	Ependymoma
CTBP2	125110990-125111093	125038996-125039155	125160318-125160513	Ependymoma
LINC00907	42335084-42335303	42225963-42226107	42453931-42454098	Ependymoma
LINC00907	42289504-42289594	42225963-42226107	42453931-42454098	Ependymoma
COPE	18905867-18905935	18905575-18905629	18910970-18911071	Ependymoma
PCAT1	126708918-126709147	126707182-126707240	126713285-126713415	Ependymoma
HSD17B4	119476450-119476499	119475823-119475870	119477416-119477501	Ependymoma
AQP7	33401536-33401672	33401236-33401287	33402372-33402645	Ependymoma
LCA5L	39435420-39435542	39429130-39429211	39445724-39445760	Ependymoma
WFDC3	45788931-45789059	45775416-45775602	45791831-45791875	Ependymoma
GTPBP1	38735174-38735310	38734323-38734397	38736028-38736175	Germ cell tumor
ENSG00000268750	57839023-57839149	57820493-57820549	57856106-57856233	Germ cell tumor
LINC01224	23404951-23405108	23403719-23403747	23405257-23405335	Germ cell tumor
STX2	130812310-130812443	130808630-130808704	130812956-130813031	Germ cell tumor
SVIL	29532529-29533458	29531253-29531288	29550596-29551263	Germ cell tumor
PLEKHA7	16787110-16787237	16786292-16786387	16789095-16789296	Germ cell tumor
MED16	871606-871662	871036-871253	871925-872118	Germ cell tumor
ZNF731P	247202016-247202095	247200066-247200193	247210690-247210856	Germ cell tumor
DNMT3A	25239315-25239513	25239129-25239215	25240301-25240450	Germ cell tumor
USP28	113852501-113852633	113841662-113841768	113875444-113875528	Germ cell tumor
DOCK6	11229298-11229390	11228939-11229035	11232184-11232289	Germ cell tumor
DNMT3A	25249657-25249724	25248036-25248252	25274940-25275087	Germ cell tumor
ENSG00000259768	72747017-72747182	72745404-72745466	72781727-72781819	Germ cell tumor
POC1A	52096569-52096712	52075225-52075985	52122378-52122477	Germ cell tumor
UBTF	44208619-44209001	44207863-44207911	44209351-44209422	Germ cell tumor
TMPO	98544442-98544537	98537474-98537572	98546358-98546447	Germ cell tumor
DLG3	70497180-70497221	70493375-70493475	70498519-70498558	Germ cell tumor
GPR78	8611163-8611269	8607266-8607425	8612026-8612162	Germ cell tumor
TTLL3	9834427-9834503	9833103-9833273	9834680-9834907	Germ cell tumor
MYH11	15708803-15708841	15703134-15704123	15714908-15715081	Germ cell tumor
SVIL	29508342-29508389	29499115-29499263	29512734-29512861	Germ cell tumor
TPK1	144681807-144681864	144648806-144648879	144682908-144682978	Germ cell tumor
PDE10A	165454578-165454695	165450241-165450362	165482314-165482343	Germ cell tumor
ZSCAN9	28230402-28230488	28227689-28227837	28232561-28233015	Germ cell tumor
PCED1B-AS1	47210640-47210761	47206510-47206588	47216164-47216200	Germ cell tumor
PLA2G7	46722783-46722925	46716974-46717096	46735179-46735375	Germ cell tumor
FCGR1A	149783170-149783190	149782693-149782774	149788365-149788617	Germ cell tumor
ABHD10	111990700-111990751	111986913-111987051	111991376-111991540	Germ cell tumor
STK25	241497182-241497378	241496397-241496534	241497615-241497687	Germ cell tumor
NIPSNAP1	29580099-29580155	29570404-29570532	29580984-29581074	Germ cell tumor
EEF1D	143594416-143594518	143593874-143594071	143597347-143597393	Germ cell tumor
PTBP1	805492-805569	805012-805187	806407-806556	Germ cell tumor
TLE1	81612292-81612393	81611805-81611959	81613376-81613521	Germ cell tumor
CCDC150	196646341-196646504	196639553-196639778	196656632-196656853	Germ cell tumor
CTNND1	57815915-57816001	57815393-57815500	57816299-57818445	Germ cell tumor
CCNB1IP1	20317794-20317974	20316226-20316560	20325538-20325653	Germ cell tumor
CANX	179699575-179699770	179698980-179699049	179705678-179705852	Germ cell tumor
PPCDC	75028247-75028453	75023585-75023626	75043440-75043536	Germ cell tumor
NOL8	92323236-92323351	92321667-92321746	92323440-92323503	Germ cell tumor
SEC24D	118766529-118766823	118764801-118764917	118768172-118768311	Germ cell tumor
PSEN2	226890656-226890965	226888828-226890133	226891277-226891361	Germ cell tumor
ZNF7	144829043-144829604	144827554-144827609	144837390-144837507	Germ cell tumor
GDPD5	75448492-75448649	75444412-75444495	75448976-75449122	Germ cell tumor
PIEZO1	88717537-88717615	88717022-88717211	88719573-88719721	Germ cell tumor
DPY19L3	32481041-32481940	32480398-32480557	32482078-32483326	Germ cell tumor
CD99L2	150828306-150829604	150816006-150816078	150831230-150831293	Germ cell tumor
HDLBP	241269201-241269295	241268476-241268541	241272760-241272812	Germ cell tumor
UBE2S	55404061-55404147	55401578-55401762	55404287-55404478	Germ cell tumor
ENSG00000273297	134430275-134430392	134417240-134418974	134432313-134432374	Germ cell tumor
SLC4A8	51466405-51466512	51463613-51463714	51469613-51469681	Germ cell tumor
GRB10	50727793-50727890	50703820-50703908	50732271-50732368	Germ cell tumor
FKBP1A	1371022-1371147	1369533-1370072	1372075-1372240	Germ cell tumor
MIA3	222662888-222663031	222662252-222662332	222663997-222664050	Germ cell tumor
ACVR1B	51960056-51960187	51951705-51951834	51975264-51975504	Germ cell tumor
POU2F1	167241407-167241610	167220875-167220958	167332469-167332535	Germ cell tumor
UBE2J2	1266098-1266290	1263345-1263386	1267861-1267992	Germ cell tumor
STK25	241497300-241497378	241496397-241496534	241497615-241497687	Germ cell tumor
LAMA5	62336904-62336986	62336733-62336786	62337589-62337626	Germ cell tumor
TOR1AIP1	179913586-179913630	179908604-179908673	179913997-179914054	Germ cell tumor
UBE2J2	1262170-1262390	1257207-1257310	1263345-1263386	Germ cell tumor
SNHG17	38427680-38427847	38426418-38426503	38431040-38431112	Germ cell tumor
LTA4H	96011753-96011865	96009093-96009148	96013187-96013258	Germ cell tumor
IQCH	67371428-67371533	67359846-67359885	67372110-67372662	Germ cell tumor
PPP1R12B	202443087-202443127	202442525-202442572	202448988-202449097	Germ cell tumor
SPRING1	116723067-116723223	116719762-116719876	116737789-116738069	Germ cell tumor
ENSG00000268230	58359197-58359323	58358488-58358585	58362676-58362751	Germ cell tumor
GSDMB	39908176-39908214	39906960-39906987	39908957-39909042	Germ cell tumor
NUP62	49918508-49918621	49909394-49909884	49929416-49929504	Germ cell tumor
CAPN13	30806181-30806266	30787127-30787357	30807301-30807426	Germ cell tumor
SERPINB6	2961894-2962029	2959167-2959342	2971532-2971644	Germ cell tumor
MFN2	12003758-12003889	12001981-12002103	12003991-12004118	Germ cell tumor
CNOT1	58623282-58623409	58599262-58599511	58624652-58624794	Germ cell tumor
TCOF1	150372006-150372236	150369528-150369602	150374173-150374386	Germ cell tumor
MSC-AS1	71973538-71973659	71965408-71965534	72052538-72054918	Germ cell tumor
PAX2	100824902-100824984	100824647-100824749	100827008-100827095	Germ cell tumor
